7:0.031726 33:0.035035 150:0.121412 252:0.030590 253:0.052527 349:0.037639 369:0.034723 384:0.030425 465:0.046867 531:0.044525 683:0.264872 722:0.030311 753:0.180876 754:0.226631 806:0.044032 816:0.067400 859:0.039161 910:0.161535 994:0.028973 1011:0.218999 1026:0.026589 1055:0.032226 1058:0.029537 1071:0.035271 1074:0.026721 1090:0.037789 1149:0.027759 1194:0.038825 1241:0.028409 1324:0.036494 1325:0.030098 1326:0.037920 1327:0.027029 1360:0.047174 1417:0.047219 1422:0.037994 1435:0.043126 1562:0.161698 1577:0.029688 1604:0.028096 1654:0.044232 1692:0.026317 1788:0.033899 1817:0.026250 1827:0.028305 1854:0.029527 1871:0.026233 1963:0.027756 1964:0.123273 1967:0.031898 1979:0.027090 2008:0.084401 2014:0.034530 2015:0.161191 2016:0.234170 2033:0.029531 2069:0.055220 2133:0.089703 2170:0.035830 2240:0.030193 2260:0.152843 2261:0.076729 2337:0.524148 2361:0.032796 2364:0.492177 2370:0.036209 2549:0.027696 2573:0.688558 2595:0.027441 2612:0.040823 2625:0.052457 2685:0.506019 2701:0.049313 2799:0.226449 2804:0.031844 2806:0.026430 2807:0.027203 2858:0.032170 2911:0.954116 2956:0.031485 3003:0.174303 3034:0.030799 3052:0.037049 3099:0.027798 3134:0.029362 3136:0.362527 3185:0.027804 3196:0.033127 3216:0.031925 3234:0.027125 3248:0.035323 3249:0.161698 3269:0.028651 3297:0.035597 3321:0.208167 3327:0.925250 3340:0.031357 3342:0.026829 3350:0.063874 3363:0.028176
11:0.025253 87:0.026293 255:0.025474 268:0.034431 290:0.036062 305:0.024876 362:0.024917 452:0.357184 535:0.023940 537:0.024577 596:0.023078 665:0.026586 690:0.027064 693:0.024077 746:0.024977 754:0.024299 769:0.062160 826:0.027234 832:0.206268 862:0.024883 896:0.035693 904:0.024287 953:0.023953 969:0.067176 994:0.033799 1011:0.043177 1026:0.026862 1104:0.034019 1141:0.030061 1149:0.024606 1194:0.040102 1199:0.049170 1200:0.022972 1257:0.025786 1397:0.047841 1413:0.027482 1417:0.436102 1421:0.051418 1422:0.517637 1477:0.028306 1484:0.027257 1574:0.023957 1575:0.023694 1694:0.024635 1714:0.023312 1752:0.023119 1755:0.023544 1786:0.026796 1787:0.112178 1902:0.026805 1912:0.033519 1920:0.024061 1928:0.031877 1985:0.023393 2015:0.024208 2069:0.025041 2158:0.033160 2160:0.102196 2257:0.023068 2291:0.027834 2327:0.064692 2333:0.024695 2334:0.036418 2337:0.101090 2363:0.034970 2410:0.068061 2573:0.139975 2578:0.198836 2589:0.025927 2685:0.209946 2710:0.141485 2734:0.022885 2855:0.036836 2857:0.030144 2866:0.028624 2898:0.025948 2911:0.999250 2977:0.024976 3024:0.023371 3035:0.059618 3044:0.041767 3075:0.178361 3079:0.024106 3083:0.023097 3114:0.025555 3134:0.030474 3136:0.030134 3147:0.026009 3230:0.028199 3235:0.033599 3253:0.025671 3262:0.061814 3269:0.023613 3297:0.050026 3298:0.050856 3321:0.176402 3327:0.992651 3330:0.026155 3340:0.024639 3363:0.034303
10:0.033709 28:0.026907 60:0.025846 81:0.024612 107:0.026636 135:0.031784 146:0.030318 160:0.027164 207:0.035511 211:0.041230 212:0.032264 224:0.025591 264:0.025673 269:0.027163 284:0.205902 511:0.031982 514:0.027105 556:0.042686 578:0.028590 606:0.026281 622:0.034840 642:0.027934 667:0.043563 804:0.027964 810:0.057844 896:0.065754 949:0.026137 969:0.024858 994:0.065101 1204:0.026296 1258:0.032775 1261:0.025386 1278:0.025828 1348:0.178867 1358:0.043906 1359:0.211099 1429:0.025395 1437:0.031166 1504:0.029376 1516:0.036257 1624:0.035382 1627:0.709437 1647:0.025577 1659:0.026773 1689:0.026790 1697:0.032342 1714:0.037178 1726:0.175862 1754:0.026393 1771:0.027885 1780:0.025602 1781:0.096684 1786:0.037370 1812:0.041492 1818:0.026302 1928:0.024800 1929:0.028082 1967:0.027969 2032:0.026652 2090:0.024858 2099:0.030160 2142:0.055598 2223:0.035041 2250:0.025637 2271:0.038743 2317:0.028169 2321:0.027529 2471:0.141864 2472:0.096767 2473:0.456932 2505:0.031849 2507:0.050371 2625:0.031454 2682:0.026600 2685:0.072699 2696:0.040423 2714:0.033000 2733:0.027505 2788:0.033341 2817:0.025092 2929:0.026654 2955:0.045942 3028:0.044764 3048:0.030395 3073:0.047697 3081:0.027856 3144:0.032002 3174:0.226071 3217:0.027493 3224:0.027014 3225:0.031306 3286:0.030984 3287:0.034555 3288:0.032049 3321:0.568534 3327:0.903960 3337:0.029789 3367:0.024682 3375:0.027787 3377:0.031208
53:0.022782 122:0.262627 252:0.024908 270:0.024762 290:0.048242 305:0.027446 333:0.025511 340:0.028548 596:0.023288 602:0.024273 610:0.024194 611:0.023875 769:0.045327 777:0.028482 814:0.024322 821:0.032365 830:0.028964 831:0.027166 832:0.031652 860:0.024261 868:0.037846 880:0.043921 953:0.022796 970:0.024060 991:0.032308 1026:0.043014 1069:0.026819 1104:0.414901 1114:0.332521 1149:0.025052 1175:0.025896 1193:0.465244 1261:0.073665 1352:0.029535 1391:0.033222 1397:0.243085 1417:0.025795 1453:0.024373 1477:0.027764 1563:0.023029 1574:0.026663 1575:0.028906 1576:0.026975 1577:0.026726 1578:0.023255 1584:0.036556 1590:0.033904 1690:0.031600 1746:0.039368 1752:0.029862 1787:0.038397 1788:0.034338 1802:0.024571 1805:0.025101 1827:0.034386 1874:0.030556 1964:0.022764 2026:0.030027 2090:0.048824 2109:0.026723 2133:0.045245 2198:0.037224 2260:0.052936 2333:0.024145 2372:0.025822 2403:0.028348 2419:0.025950 2549:0.046527 2573:0.067203 2578:0.039957 2685:0.214946 2687:0.037396 2688:0.029947 2720:0.027542 2734:0.034392 2751:0.030293 2815:0.024987 2818:0.624684 2876:0.026125 2893:0.023348 2911:0.120253 2957:0.027934 2960:0.033198 2986:0.026738 3035:0.025845 3060:0.030740 3065:0.091528 3114:0.025759 3136:0.040114 3235:0.023690 3253:0.046308 3279:0.028981 3281:0.029961 3297:0.042286 3298:0.032046 3307:0.028577 3321:0.138639 3327:0.475095 3330:0.035343 3342:0.026359
19:0.025012 58:0.028783 65:0.026945 141:0.029098 162:0.025111 204:0.028149 226:0.125039 231:0.028106 232:0.278881 284:0.031013 299:0.025706 322:0.026067 362:0.209820 419:0.028239 458:0.024209 463:0.024403 483:0.063401 491:0.155285 531:0.024402 561:0.024540 622:0.215291 676:0.024955 755:0.026230 857:0.025731 861:0.024789 862:0.188803 865:0.025498 896:0.036771 928:0.026942 949:0.025414 982:0.028324 983:0.193027 1014:0.029238 1141:0.025041 1233:0.034115 1253:0.026798 1258:0.024029 1277:0.025329 1297:0.047995 1437:0.031414 1445:0.025100 1479:0.024796 1481:0.026204 1525:0.025102 1530:0.030522 1531:0.024774 1603:0.025017 1627:0.166859 1654:0.027818 1693:0.028793 1694:0.071145 1705:0.039986 1746:0.024157 1758:0.033170 1780:0.028293 1781:0.073890 1862:0.036305 1905:0.044896 1976:0.211994 2007:0.227178 2021:0.739565 2023:0.691273 2069:0.025559 2151:0.024936 2219:0.024195 2224:0.024091 2225:0.037401 2227:0.031320 2269:0.028677 2281:0.028024 2310:0.781084 2351:0.024227 2389:0.036842 2447:0.088971 2496:0.040552 2597:0.028073 2628:0.027295 2685:0.874552 2696:0.046009 2698:0.140178 2710:0.087538 2849:0.027914 2948:0.056247 2949:0.054497 2981:0.026028 2982:0.031045 3009:0.090708 3010:0.074365 3028:0.027753 3048:0.025819 3099:0.025067 3123:0.027209 3215:0.024388 3286:0.024891 3312:0.038385 3321:0.187833 3327:0.986229 3353:0.026164 3361:0.180573 3373:0.683157
122:0.025447 148:0.187599 149:0.170259 268:0.026302 290:0.026918 291:0.023182 292:0.030501 326:0.030218 329:0.029917 333:0.024438 348:0.024728 384:0.156206 550:0.024327 663:0.021981 698:0.027305 753:0.032670 754:0.030467 769:0.042445 816:0.026099 851:0.031850 876:0.021718 880:0.024843 968:0.022578 994:0.026722 1006:0.129964 1071:0.022649 1188:0.201343 1189:0.181962 1193:0.032349 1200:0.024057 1352:0.198399 1373:0.021754 1417:0.022932 1422:0.029039 1484:0.026379 1574:0.031649 1577:0.046335 1578:0.030616 1584:0.024268 1604:0.028340 1652:0.028797 1658:0.039235 1711:0.031195 1787:0.036959 1802:0.031393 1915:0.022365 1946:0.097873 1964:0.559339 2114:0.074566 2260:0.347502 2261:0.451162 2327:0.021946 2352:0.154364 2375:0.021701 2402:0.028612 2419:0.026332 2456:0.043820 2457:0.032597 2521:0.025394 2537:0.024412 2549:0.032123 2573:0.046636 2592:0.031430 2593:0.023118 2685:0.400930 2721:0.022431 2747:0.098352 2748:0.160983 2756:0.122490 2804:0.023028 2806:0.177887 2818:0.326684 2820:0.025545 2843:0.030061 2876:0.025869 2893:0.023265 2911:0.441942 2927:0.026048 3003:0.025797 3034:0.208828 3035:0.218653 3042:0.022153 3054:0.027623 3060:0.023731 3114:0.024726 3136:0.038839 3184:0.026450 3216:0.240241 3235:0.024212 3262:0.027626 3278:0.021998 3279:0.025400 3297:0.027277 3298:0.025716 3318:0.024941 3321:0.131961 3327:0.159505 3331:0.025185 3366:0.021766 3394:0.022983
59:0.026165 65:0.026554 104:0.115626 162:0.024696 204:0.031335 207:0.024254 235:0.026964 284:0.049667 290:0.038417 291:0.027357 308:0.025584 309:0.209537 362:0.029562 621:0.027641 622:0.023900 642:0.025861 643:0.025410 749:0.030503 806:0.023620 826:0.043499 852:0.023711 853:0.024633 856:0.024660 865:0.024551 881:0.029002 896:0.784440 899:0.032880 908:0.027477 969:0.026262 983:0.099341 1023:0.028799 1258:0.024456 1301:0.027926 1369:0.098643 1370:0.334966 1413:0.028541 1416:0.023888 1437:0.034874 1506:0.128465 1557:0.024165 1627:0.033708 1638:0.024932 1650:0.201556 1654:0.029740 1675:0.031014 1693:0.024629 1694:0.030314 1699:0.024437 1725:0.024706 1758:0.029153 1780:0.024579 1781:0.034499 1841:0.833061 1842:0.171173 1843:0.026363 1913:0.025620 1970:0.024051 1994:0.025164 2069:0.023712 2174:0.146726 2203:0.030626 2227:0.328079 2228:0.135089 2231:0.026891 2281:0.027359 2384:0.028359 2447:0.024480 2547:0.029806 2685:0.188142 2696:0.057843 2710:0.206352 2714:0.026752 2760:0.023713 2860:0.025367 2898:0.025333 2909:0.054597 2923:0.089412 2978:0.103350 2998:0.026104 3026:0.025287 3048:0.028823 3075:0.024082 3078:0.039746 3090:0.031219 3099:0.036764 3124:0.026534 3130:0.035001 3174:0.025967 3207:0.024201 3215:0.041233 3217:0.024490 3230:0.025913 3321:0.376390 3327:0.413475 3333:0.034619 3360:0.038446 3361:0.065174 3367:0.029667 3369:0.027520 3374:0.028549
10:0.030098 30:0.025239 133:0.027454 202:0.024009 207:0.025242 235:0.026625 284:0.366764 290:0.031267 458:0.024792 489:0.023900 531:0.026979 537:0.025306 551:0.023950 562:0.024064 584:0.024901 643:0.032833 666:0.024692 676:0.023858 704:0.037608 707:0.028080 745:0.027590 769:0.032243 777:0.025659 793:0.286744 806:0.029757 856:0.027820 896:0.028185 899:0.025372 946:0.029627 969:0.023690 994:0.032936 1188:0.026652 1194:0.028117 1205:0.038626 1350:0.023620 1423:0.025262 1437:0.031895 1477:0.026946 1531:0.024058 1542:0.047011 1599:0.024146 1627:0.038702 1654:0.026019 1658:0.026763 1675:0.025556 1693:0.030175 1694:0.028632 1697:0.029767 1714:0.031528 1731:0.027158 1746:0.023859 1781:0.057529 1786:0.030276 1842:0.048442 1844:0.024356 1845:0.026208 1905:0.746866 1906:0.068001 1920:0.027737 1922:0.033726 1958:0.655285 1967:0.025912 2086:0.131347 2114:0.025660 2148:0.242434 2203:0.026818 2317:0.026373 2451:0.024292 2573:0.025592 2578:0.024294 2684:0.026955 2685:0.091605 2710:0.034294 2760:0.023707 2788:0.378207 2828:0.243064 2831:0.028656 2870:0.112417 2885:0.024963 2911:0.027728 2942:0.026182 2996:0.026498 3032:0.174591 3046:0.112142 3078:0.026363 3090:0.025716 3117:0.024268 3165:0.028887 3168:0.024651 3207:0.024162 3230:0.026399 3236:0.260961 3253:0.027453 3276:0.029118 3321:0.643337 3327:0.934201 3361:0.033077 3363:0.029235 3373:0.030423 3397:0.026793
10:0.023210 19:0.028605 30:0.030845 70:0.023316 211:0.024421 224:0.060654 226:0.023360 239:0.025698 264:0.306414 268:0.251238 269:0.028112 299:0.022975 351:0.025840 419:0.035638 531:0.023183 585:0.025190 622:0.023863 650:0.037019 674:0.022992 804:0.025532 817:0.030421 837:0.022929 846:0.024394 865:0.033767 892:0.030449 945:0.026620 954:0.026261 1021:0.024497 1029:0.045259 1039:0.023930 1153:0.037167 1204:0.026835 1258:0.031922 1261:0.025280 1419:0.023065 1477:0.024128 1504:0.029323 1505:0.024556 1535:0.023665 1550:0.253748 1609:0.024744 1624:0.026091 1627:0.922642 1634:0.023071 1659:0.024315 1681:0.023296 1714:0.023044 1731:0.050662 1732:0.028407 1780:0.024936 1781:0.033913 1808:0.026035 1809:0.031445 1825:0.048864 1836:0.023102 1867:0.027714 1879:0.023923 1884:0.025752 1913:0.024938 1920:0.024092 1929:0.024525 2081:0.026570 2126:0.025764 2142:0.024930 2201:0.027719 2223:0.034610 2250:0.027282 2251:0.023712 2305:0.023374 2313:0.024231 2315:0.051714 2505:0.045469 2578:0.026006 2625:0.045603 2685:0.023902 2696:0.728721 2710:0.044519 2714:0.024265 2716:0.029666 2743:0.046486 2746:0.315703 2788:0.037124 2819:0.026196 2937:0.027101 2997:0.033647 3026:0.023843 3074:0.037621 3091:0.354061 3109:0.028221 3115:0.024548 3126:0.030066 3145:0.029066 3174:0.024088 3230:0.026554 3251:0.041684 3321:0.025656 3327:0.819793 3358:0.031098 3359:0.036928 3367:0.034233
11:0.024148 30:0.035446 58:0.028383 268:0.024457 284:0.033618 290:0.034390 291:0.040119 338:0.024305 362:0.020833 537:0.025678 668:0.021588 745:0.024298 749:0.020640 777:0.031047 826:0.034510 877:0.025803 896:0.037971 945:0.020654 969:0.027674 1023:0.387892 1075:0.020393 1083:0.021905 1152:0.078272 1188:0.023461 1194:0.041302 1205:0.046063 1247:0.024822 1360:0.022374 1417:0.052493 1422:0.020500 1428:0.023328 1445:0.041916 1461:0.028787 1467:0.283701 1469:0.220145 1477:0.061204 1481:0.027233 1558:0.022051 1574:0.036631 1575:0.041890 1577:0.047879 1578:0.038699 1627:0.044853 1658:0.025094 1675:0.023538 1693:0.021115 1694:0.021362 1742:0.022160 1746:0.022517 1758:0.026704 1787:0.034997 1844:0.040004 1884:0.028517 1898:0.027825 1905:0.632927 1922:0.310450 1958:0.064970 1964:0.023076 1967:0.027340 1970:0.023354 2008:0.020846 2109:0.021431 2203:0.028864 2254:0.021452 2260:0.023004 2261:0.025724 2271:0.025785 2292:0.023307 2315:0.025573 2337:0.035317 2486:0.167090 2573:0.106498 2578:0.026419 2609:0.036806 2685:0.436568 2688:0.022388 2710:0.478612 2788:0.032172 2832:0.020535 2843:0.020780 2898:0.034295 2911:0.039823 2951:0.260154 2955:0.021852 2959:0.020739 3043:0.023057 3065:0.038083 3096:0.038947 3103:0.022051 3114:0.042065 3136:0.021768 3147:0.021705 3184:0.039230 3230:0.022144 3297:0.022285 3321:0.419193 3327:0.985266 3360:0.032112 3361:0.599138 3363:0.262812
21:0.022569 59:0.024871 135:0.025727 162:0.022790 231:0.025659 241:0.038492 242:0.029700 250:0.023360 299:0.024261 327:0.273301 338:0.035800 449:0.024899 456:0.025082 463:0.029904 483:0.035691 539:0.023504 594:0.024477 597:0.023438 630:0.023193 649:0.028080 650:0.065549 676:0.032212 678:0.022785 804:0.023408 857:0.024256 858:0.177156 896:0.042413 901:0.023166 904:0.045420 955:0.027037 969:0.039989 1041:0.023036 1129:0.022772 1214:0.022846 1258:0.041104 1262:0.274465 1265:0.025393 1377:0.042629 1379:0.043444 1414:0.024936 1437:0.028255 1525:0.037552 1536:0.036701 1609:0.026490 1625:0.028128 1627:0.385145 1632:0.031785 1642:0.027213 1670:0.023042 1693:0.023603 1694:0.032475 1697:0.028541 1705:0.029327 1726:0.022802 1746:0.031703 1755:0.028569 1781:0.025039 1818:0.027016 1877:0.025073 1884:0.040650 1920:0.026371 1926:0.029257 1970:0.025052 1995:0.026776 2000:0.022904 2126:0.022698 2151:0.037426 2351:0.022649 2358:0.022675 2417:0.034729 2443:0.078653 2447:0.728271 2460:0.068894 2503:0.024299 2530:0.030465 2625:0.032025 2637:0.026952 2649:0.025193 2654:0.131430 2685:0.102508 2696:0.752693 2773:0.024747 2785:0.023723 2788:0.851352 2998:0.029224 3001:0.024586 3009:0.023507 3073:0.023046 3094:0.045246 3099:0.027355 3207:0.029810 3217:0.023740 3286:0.029450 3287:0.029880 3321:0.536216 3322:0.023320 3327:0.995526 3361:0.159679 3369:0.034237 3373:0.025477
10:0.025194 23:0.025755 59:0.036163 93:0.027112 107:0.026195 218:0.148071 224:0.220458 231:0.026917 232:0.031536 241:0.030017 242:0.026104 250:0.030626 251:0.035561 291:0.033600 419:0.751735 420:0.285588 591:0.036563 592:0.029406 630:0.026107 643:0.027286 648:0.040760 649:0.172493 650:0.791314 725:0.026661 804:0.025665 896:0.059756 899:0.032993 1152:0.037994 1182:0.029074 1252:0.025767 1289:0.262418 1419:0.033459 1505:0.037302 1519:0.042215 1520:0.040913 1525:0.373042 1603:0.026121 1608:0.025712 1627:0.101703 1693:0.030523 1694:0.028090 1697:0.025773 1726:0.152833 1755:0.030392 1786:0.036826 1790:0.071364 1848:0.056139 1850:0.028552 1851:0.051898 1855:0.025281 1858:0.027354 1862:0.054681 1869:0.026606 1879:0.025527 1905:0.047098 1920:0.027320 1922:0.034390 1928:0.026178 1952:0.030064 2155:0.030540 2225:0.031925 2227:0.026258 2239:0.025361 2315:0.035246 2358:0.025786 2365:0.028985 2384:0.038078 2408:0.040881 2447:0.849657 2507:0.028679 2649:0.050374 2685:0.583430 2696:0.886938 2698:0.027867 2699:0.035053 2710:0.107781 2743:0.031381 2785:0.025674 2934:0.029170 2947:0.041456 2948:0.045627 2949:0.035778 2998:0.031591 3001:0.031606 3010:0.026392 3026:0.026356 3094:0.844398 3104:0.030293 3115:0.026431 3116:0.025202 3118:0.032347 3174:0.034478 3207:0.032252 3215:0.025716 3224:0.029890 3230:0.029931 3321:0.120845 3327:0.257698 3340:0.030137 3373:0.368590
99:0.044313 118:0.162191 176:0.072915 190:0.561974 191:0.564158 192:0.174123 235:0.029478 252:0.026899 290:0.037165 291:0.027585 295:0.028060 297:0.036960 362:0.028445 403:0.031147 544:0.029699 546:0.027687 622:0.034725 704:0.043611 745:0.035276 754:0.034903 756:0.030415 769:0.358800 771:0.217449 778:0.026898 780:0.041074 826:0.041930 883:0.566622 896:0.047096 929:0.035046 937:0.027273 940:0.134959 1000:0.028127 1001:0.030797 1009:0.028582 1074:0.029106 1107:0.064444 1390:0.028102 1413:0.031793 1437:0.036490 1445:0.031955 1477:0.034272 1528:0.028151 1548:0.026638 1574:0.031090 1578:0.033824 1587:0.105047 1729:0.188514 1730:0.032905 1787:0.053240 1791:0.027685 1841:0.028893 1845:0.065578 1899:0.032019 1905:0.071076 1910:0.028324 1922:0.039529 1943:0.028861 1959:0.027968 1988:0.193878 2009:0.030125 2066:0.246012 2071:0.064644 2073:0.074435 2075:0.102484 2112:0.037099 2158:0.031399 2260:0.032544 2329:0.026499 2330:0.033053 2331:0.035957 2394:0.028927 2395:0.027907 2406:0.048249 2407:0.252239 2573:0.758981 2575:0.031889 2618:0.027339 2685:0.099026 2710:0.261341 2720:0.030451 2785:0.202606 2788:0.062540 2814:0.632651 2815:0.030202 2818:0.028695 2911:0.038915 2989:0.509726 2990:0.027442 3032:0.029765 3060:0.045112 3065:0.091615 3088:0.027727 3090:0.142517 3096:0.123581 3114:0.027419 3134:0.034616 3184:0.050946 3297:0.055075 3321:0.230782 3327:0.913793
30:0.038118 122:0.027974 145:0.308317 164:0.027280 268:0.034545 290:0.166312 297:0.032152 299:0.028277 326:0.050715 329:0.049245 333:0.027214 340:0.032232 348:0.032353 377:0.037218 386:0.027450 461:0.037049 490:0.029814 629:0.038218 663:0.088900 664:0.042061 668:0.028120 700:0.037511 745:0.027897 746:0.034662 769:0.060634 777:0.041837 868:0.032463 880:0.030869 927:0.027717 968:0.049792 969:0.127108 1066:0.033104 1082:0.033687 1193:0.041564 1298:0.027222 1322:0.028919 1352:0.043965 1397:0.036553 1584:0.047898 1627:0.044947 1652:0.030276 1658:0.067396 1781:0.045687 1787:0.488456 1802:0.655978 1817:0.027585 1827:0.030511 1886:0.035242 1964:0.172618 2016:0.028500 2083:0.046306 2257:0.143504 2260:1.000000 2261:1.000000 2262:0.091630 2292:0.034885 2327:0.039285 2362:0.029685 2372:0.224439 2521:0.202791 2592:0.853821 2593:0.096429 2649:0.064288 2683:0.057704 2685:0.227187 2710:0.148843 2748:0.184167 2749:0.039632 2818:0.122414 2820:0.027850 2843:0.116497 2859:0.029237 2876:0.252794 2911:0.069552 2927:0.028929 2941:0.027300 2957:0.041073 3042:0.049365 3053:0.172743 3054:0.412604 3060:0.070121 3062:0.067586 3065:0.202909 3068:0.046951 3114:0.029469 3136:0.031468 3154:0.030488 3158:0.029545 3165:0.148957 3184:0.149913 3207:0.032006 3262:0.035759 3279:0.318618 3281:0.049478 3297:0.127882 3318:0.039494 3321:0.618219 3327:0.936004 3352:0.035016 3363:0.031480
58:0.032284 65:0.098190 93:0.030922 211:0.028703 212:0.038309 231:0.028417 284:0.062930 290:0.106580 291:0.049077 299:0.029854 302:0.030516 341:0.038455 344:0.088810 354:0.031866 362:0.029420 369:0.035180 396:0.429444 423:0.034893 445:0.033268 489:0.038536 491:0.439145 493:0.030246 516:0.032582 666:0.029707 859:0.030893 870:0.028813 873:0.035006 896:0.038970 899:0.034814 1130:0.033146 1188:0.028430 1194:0.090301 1258:0.029934 1301:0.039220 1350:0.037058 1377:0.028806 1627:0.109266 1654:0.030241 1694:0.031288 1714:0.031585 1725:0.031171 1727:0.032453 1746:0.032481 1758:0.036949 1781:0.037653 1881:0.029641 1971:0.036225 1975:0.103602 1976:0.964346 1982:0.030066 2003:0.042187 2151:0.029336 2165:0.038667 2184:0.029948 2222:0.032979 2227:0.029214 2271:0.029428 2287:0.031419 2294:0.071022 2315:0.035711 2317:0.031049 2417:0.077522 2427:0.028813 2447:0.059204 2493:0.397279 2494:0.059328 2495:0.072159 2496:0.979928 2497:0.066296 2507:0.028839 2625:0.038956 2627:0.035418 2628:0.031134 2637:0.032066 2649:0.029108 2654:0.048590 2661:0.038213 2675:0.029034 2685:0.495103 2696:0.056740 2710:0.052831 2785:0.031337 2972:0.028945 2978:0.028545 2979:0.041128 2994:0.029057 3000:0.028700 3015:0.034538 3048:0.037799 3079:0.029535 3123:0.183141 3174:0.028726 3224:0.184636 3225:0.032173 3321:0.933068 3327:0.976440 3371:0.038015 3372:0.069374 3373:0.029338 3374:0.029540
10:0.023145 30:0.026209 58:0.021429 65:0.021583 135:0.023722 204:0.204040 211:0.152933 235:0.021230 268:0.028097 290:0.088542 362:0.023347 456:0.022449 511:0.021644 515:0.031668 537:0.022496 539:0.021533 668:0.020898 769:0.024848 826:0.023164 832:0.021174 861:0.021511 896:0.297778 899:0.023899 953:0.021465 994:0.095348 1057:0.085400 1152:0.202527 1205:0.029566 1209:0.112123 1257:0.193462 1258:0.021260 1301:0.021350 1437:0.025344 1445:0.029854 1477:0.023097 1496:0.023004 1531:0.023812 1563:0.021548 1577:0.022250 1584:0.025760 1627:0.206035 1654:0.021063 1656:0.021765 1694:0.023109 1714:0.020666 1718:0.029731 1731:0.037408 1758:0.094502 1780:0.051101 1781:0.221350 1786:0.022137 1787:0.024364 1841:0.026522 1905:0.023188 1964:0.022821 1970:0.022267 1994:0.022316 2090:0.024582 2152:0.020709 2184:0.212532 2203:0.045943 2260:0.021223 2271:0.021440 2285:0.079687 2332:0.022041 2337:0.025263 2417:0.054345 2419:0.021729 2462:0.023505 2507:0.024863 2573:0.025180 2578:0.029727 2625:0.021469 2685:0.103171 2710:0.024437 2716:0.029469 2788:0.077578 2818:0.024319 2898:0.028990 2909:0.022875 2911:0.027622 2933:0.099397 2955:0.020948 3065:0.021591 3093:0.023388 3138:0.125862 3168:0.026283 3230:0.022560 3253:0.025557 3298:0.020802 3321:0.187322 3327:0.795116 3333:0.020781 3340:0.024846 3342:0.020946 3360:0.178113 3361:0.024581 3363:0.021723 3369:0.022691 3374:0.021663
58:0.028313 173:0.052080 211:0.073020 213:0.104965 234:0.033884 240:0.067287 241:0.138666 284:0.031943 302:0.028012 341:0.443766 344:0.393894 433:0.280979 438:0.089795 444:0.055025 449:0.034393 456:0.027939 467:0.028200 483:0.608578 491:0.817097 616:0.145134 630:0.030295 666:0.028236 671:0.046282 721:0.054230 725:0.031166 749:0.034090 801:0.057467 952:0.028202 955:0.088781 1130:0.028946 1141:0.122690 1145:0.042861 1152:0.291691 1215:0.434836 1244:0.029703 1262:0.500379 1290:0.047035 1297:0.037873 1301:0.029737 1377:0.029546 1449:0.035535 1479:0.029751 1486:0.035255 1496:0.490799 1513:0.031295 1568:0.029911 1569:0.028406 1627:0.661151 1655:0.028757 1694:0.377945 1697:0.036357 1714:0.028551 1746:0.028755 1755:0.031716 1758:0.243593 1781:0.056291 1826:0.038153 1841:0.032551 1859:0.028446 1949:0.049276 1952:0.034671 1967:0.032899 1971:0.037081 1975:0.032099 1976:0.056335 2070:0.044249 2085:0.047444 2235:0.034714 2239:0.027981 2267:0.029158 2281:0.028256 2294:0.028844 2297:0.027931 2397:0.029954 2417:0.815284 2421:0.043513 2497:0.029402 2507:0.122642 2625:0.029407 2645:0.037328 2656:0.029138 2685:0.073282 2696:0.030894 2710:0.226866 2788:0.597114 2849:0.031873 2909:0.269863 2910:0.244371 2996:0.028902 3015:0.028581 3075:0.030566 3174:0.030783 3215:0.036943 3222:0.030470 3321:0.422144 3327:0.941160 3333:0.029117 3371:0.038116 3372:0.032020 3373:0.041057
57:0.026895 59:0.025509 362:0.028331 414:0.076414 488:0.069449 597:0.025690 698:0.026146 754:0.027480 769:0.267617 816:0.025094 832:0.034762 897:0.034114 910:0.075350 934:0.095220 969:0.027654 974:0.026866 1011:0.138247 1071:0.032515 1074:0.026041 1090:0.031914 1104:0.026097 1175:0.026156 1189:0.026304 1194:0.031470 1241:0.038785 1349:0.068777 1360:0.025721 1373:0.024898 1397:0.029128 1413:0.031469 1417:0.035092 1422:0.024523 1477:0.043408 1557:0.032770 1563:0.028542 1658:0.025392 1694:0.048436 1714:0.024577 1725:0.026375 1742:0.030294 1758:0.032167 1802:0.028584 1827:0.027840 1854:0.024566 1909:0.026473 1912:0.028940 1920:0.029666 1928:0.029406 1946:0.033881 1947:0.024562 1959:0.026136 1961:0.025136 1964:0.027217 1967:0.029103 1990:0.024639 2008:0.027504 2020:0.030088 2033:0.028490 2152:0.027277 2203:0.042714 2261:0.029790 2298:0.076616 2320:0.034444 2332:0.034946 2337:0.063945 2468:0.024654 2537:0.024535 2547:0.036659 2549:0.046266 2573:0.313189 2654:0.048770 2685:0.129424 2714:0.026837 2716:0.032665 2734:0.031194 2788:0.244882 2814:0.035098 2892:0.025776 2911:0.462081 2927:0.029442 2960:0.032733 2977:0.024598 3003:0.163825 3048:0.036427 3060:0.025656 3065:0.042273 3075:0.025843 3136:0.045093 3230:0.024870 3248:0.231455 3250:0.202511 3297:0.041829 3321:0.685616 3327:1.000000 3333:0.030462 3340:0.040564 3342:0.033371 3363:0.048947 3367:0.028356 3374:0.029721
